testCaseId,testClass,testMethod,usesTestCaseId,enabled
TC_LOGIN_001,LoginTest,verifyValidLogin,false,true
TC_LOGIN_002,LoginTest,verifyInvalidUsername,false,true
TC_LOGIN_003,LoginTest,verifyInvalidPassword,false,true
TC_LOGIN_004,LoginTest,verifyAccountBlockedAfter3InvalidPasswords,false,true
TC_LOGIN_005,LoginTest,verifyInvalidVerificationCode,false,true
TC_LOGIN_006,LoginTest,verifyCaptchaLockedAfter15InvalidAttempts,false,false
TC_LOGIN_007,LoginTest,verifyUsernameWithSpecialCharacters,false,true
TC_LOGIN_008,LoginTest,verifyLoginWithGoogle,false,false
TC_LOGIN_009,LoginTest,verifyLoginWithUnactivatedAccount,false,true
TC_HKD_WPAY_DEPO_0087,DepositTest,verifyDepositWpayHkdBelowMinimum,false,true
TC_HKD_WPAY_DEPO_0088,DepositTest,verifyDepositWpayHkdAboveMaximum,false,true
TC_HKD_WPAY_DEPO_0089,DepositTest,verifyDepositWpayHkdWithValidAmount,false,true
TC_HKD_DEPO_0073,DepositTest,verifyDepositUsdtTrc20UpayWithoutBoundAccount,false,true
TC_HKD_DEPO_0074,DepositTest,verifyDepositUsdtTrc20UpayBelowMinimum,false,true
TC_HKD_DEPO_0075,DepositTest,verifyDepositUsdtTrc20UpayAboveMaximum,false,true
TC_HKD_DEPO_0072,DepositTest,verifyDepositUsdtTrc20UpayWithValidAmount,false,true
TC_HKD_DEPO_0061,DepositTest,verifyDepositUmpayHkdWithoutBoundAccount,false,true
TC_HKD_DEPO_0062,DepositTest,verifyDepositUmpayHkdBelowMinimum,false,true
TC_HKD_DEPO_0063,DepositTest,verifyDepositUmpayHkdAboveMaximum,false,true
TC_HKD_DEPO_0060,DepositTest,verifyDepositUmpayHkdWithValidAmount,false,true
TC_HKD_DEPO_0065,DepositTest,verifyDepositUsdtErc20WithoutBoundAccount,false,true
TC_HKD_DEPO_0066,DepositTest,verifyDepositUsdtErc20BelowMinimum,false,true
TC_HKD_DEPO_0067,DepositTest,verifyDepositUsdtErc20AboveMaximum,false,true
TC_HKD_DEPO_0064,DepositTest,verifyDepositUsdtErc20WithValidAmount,false,true
TC_HKD_DEPO_0077,DepositTest,verifyDepositUsdtOmniWithoutBoundAccount,false,true
TC_HKD_DEPO_0078,DepositTest,verifyDepositUsdtOmniBelowMinimum,false,true
TC_HKD_DEPO_0079,DepositTest,verifyDepositUsdtOmniAboveMaximum,false,true
TC_HKD_DEPO_0076,DepositTest,verifyDepositUsdtOmniWithValidAmount,false,true
TC_HKD_DEPO_0069,DepositTest,verifyDepositUsdtTrc20WithoutBoundAccount,false,true
TC_HKD_DEPO_0070,DepositTest,verifyDepositUsdtTrc20BelowMinimum,false,true
TC_HKD_DEPO_0071,DepositTest,verifyDepositUsdtTrc20AboveMaximum,false,true
TC_HKD_DEPO_0068,DepositTest,verifyDepositUsdtTrc20WithValidAmount,false,true
TC_HKD_DEPO_0012,DepositTest,verifyDeposit6PayBankWithoutBoundAccount,false,true
TC_HKD_DEPO_0013,DepositTest,verifyDeposit6PayBankBelowMinimum,false,true
TC_HKD_DEPO_0014,DepositTest,verifyDeposit6PayBankAboveMaximum,false,true
TC_HKD_DEPO_0011,DepositTest,verifyDeposit6PayBankWithValidAmount,false,true
TC_HKD_DEPO_0016,DepositTest,verifyDeposit6PayFpsWithoutBoundAccount,false,true
TC_HKD_DEPO_0017,DepositTest,verifyDeposit6PayFpsBelowMinimum,false,true
TC_HKD_DEPO_0018,DepositTest,verifyDeposit6PayFpsAboveMaximum,false,true
TC_HKD_DEPO_0015,DepositTest,verifyDeposit6PayFpsWithValidAmount,false,true
TC_HKD_DEPO_00125,DepositTest,verifyDepositSelfServiceWithValidAmount,false,true
TC_HKD_DEPO_0046,DepositTest,verifyDepositAtmBelowMinimum,false,true
TC_HKD_DEPO_0047,DepositTest,verifyDepositAtmAboveMaximum,false,true
TC_HKD_DEPO_0044,DepositTest,verifyDepositAtmWithValidAmount,false,true
TC_HKD_DEPO_004,DepositTest,verifyDepositBankTransferWithoutBoundAccount,false,true
TC_HKD_DEPO_005,DepositTest,verifyDepositBankTransferBelowMinimum,false,true
TC_HKD_DEPO_006,DepositTest,verifyDepositBankTransferAboveMaximum,false,true
TC_HKD_DEPO_003,DepositTest,verifyDepositBankTransferWithValidAmount,false,true
TC_HKD_DEPO_008,DepositTest,verifyDepositFpsPlaypayWithoutBoundAccount,false,true
TC_HKD_DEPO_009,DepositTest,verifyDepositFpsPlaypayBelowMinimum,false,true
TC_HKD_DEPO_0010,DepositTest,verifyDepositFpsPlaypayAboveMaximum,false,true
TC_HKD_DEPO_007,DepositTest,verifyDepositFpsPlaypayWithValidAmount,false,true
TC_HKD_DEPO_0050,DepositTest,verifyDepositAlipayWithoutBoundAccount,false,true
TC_HKD_DEPO_0052,DepositTest,verifyDepositAlipayBelowMinimum,false,true
TC_HKD_DEPO_0053,DepositTest,verifyDepositAlipayAboveMaximum,false,true
TC_HKD_DEPO_0049,DepositTest,verifyDepositAlipayWithValidAmount,false,true
TC_HKD_DEPO_0054,DepositTest,verifyDepositConvStoreCashWithValidAmount,false,true
TC_HKD_DEPO_0037,DepositTest,verifyDepositOctopusPayWithoutBoundAccount,false,true
TC_HKD_DEPO_0038,DepositTest,verifyDepositOctopusPayBelowMinimum,false,true
TC_HKD_DEPO_0039,DepositTest,verifyDepositOctopusPayAboveMaximum,false,true
TC_HKD_DEPO_0036,DepositTest,verifyDepositOctopusPayWithValidAmount,false,true
TC_HKD_DEPO_0042,DepositTest,verifyDepositCashPaymentWithoutBoundAccount,false,true
TC_HKD_DEPO_0041,DepositTest,verifyDepositCashPaymentWithValidAmount,false,true
